invoice_no;customer_id;gender;age;category;sku_id;quantity;price;payment_method;invoice_date;shopping_mall;elasticidad_producto;elasticidad_categoria;volumen_promedio_producto;volumen_promedio_categoria;elasticidad_relativa;volumen_relativo;recomendacion_precio;rol_producto;estrategia_recomendada;estrategia_resumen;n_obs_producto
INV00012;CUST0083;Female;28,00;Electronics;SKU-048;1,00;518,29;Credit Card;2025-10-05;Downtown Galleria;-0,00;0,00;1,00;1,00;N/A;1,00;Mantener;Sin clasificar;Recopilar más datos históricos de precios y ventas para realizar análisis de elasticidad y volumen. Se requieren al menos 3 observaciones de precio-cantidad para estimar elasticidad confiable.;Recolectar mas datos;48,00
INV00013;CUST0003;Male;56,00;Food & Drink;SKU-075;4,00;10,83;Credit Card;2025-08-04;Westside Plaza;0,03;0,00;4,72;4,53;45,41;1,04;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;53,00
INV00014;CUST0188;Female;21,00;Clothing;SKU-020;3,00;34,34;Credit Card;2025-05-27;Downtown Galleria;0,02;0,01;2,51;2,49;2,96;1,01;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;45,00
INV00015;CUST0181;Male;40,00;Food & Drink;SKU-080;4,00;16,77;Debit Card;2025-07-03;Westside Plaza;0,01;0,00;4,66;4,53;17,27;1,03;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;59,00
INV00016;CUST0072;Female;51,00;Electronics;SKU-034;1,00;397,16;Debit Card;2025-09-14;Downtown Galleria;0,00;0,00;1,00;1,00;N/A;1,00;Mantener;Sin clasificar;Recopilar más datos históricos de precios y ventas para realizar análisis de elasticidad y volumen. Se requieren al menos 3 observaciones de precio-cantidad para estimar elasticidad confiable.;Recolectar mas datos;51,00
INV00017;CUST0093;Male;22,00;Food & Drink;SKU-064;4,00;28,14;Credit Card;2025-06-02;Westside Plaza;0,09;0,00;4,53;4,53;132,57;1,00;Bajar mucho;Promesa de valor;Posicionamiento por valor: Precio competitivo con diferenciación por calidad. Producto sensible al precio con bajo volumen. Invertir en marketing, branding y fidelización para aumentar volumen. Reducir precios para penetrar mercado y convertir en 'Generador de trafico'.;Precio competitivo, crecer volumen;49,00
INV00018;CUST0031;Male;57,00;Electronics;SKU-056;1,00;466,69;Credit Card;2025-07-10;Westside Plaza;0,00;0,00;1,00;1,00;N/A;1,00;Mantener;Sin clasificar;Recopilar más datos históricos de precios y ventas para realizar análisis de elasticidad y volumen. Se requieren al menos 3 observaciones de precio-cantidad para estimar elasticidad confiable.;Recolectar mas datos;51,00
INV00019;CUST0123;Male;28,00;Food & Drink;SKU-068;3,00;24,75;Cash;2025-10-30;Downtown Galleria;-0,01;0,00;4,59;4,53;-16,29;1,01;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;49,00
INV00020;CUST0011;Male;50,00;Home Goods;SKU-091;2,00;177,49;Credit Card;2025-10-15;North Mall;-0,07;-0,03;1,49;1,52;2,20;0,98;Bajar mucho;Promesa de valor;Posicionamiento por valor: Precio competitivo con diferenciación por calidad. Producto sensible al precio con bajo volumen. Invertir en marketing, branding y fidelización para aumentar volumen. Reducir precios para penetrar mercado y convertir en 'Generador de trafico'.;Precio competitivo, crecer volumen;51,00
INV00021;CUST0143;Female;58,00;Electronics;SKU-060;1,00;657,30;Cash;2025-09-20;Westside Plaza;-0,00;0,00;1,00;1,00;N/A;1,00;Mantener;Sin clasificar;Recopilar más datos históricos de precios y ventas para realizar análisis de elasticidad y volumen. Se requieren al menos 3 observaciones de precio-cantidad para estimar elasticidad confiable.;Recolectar mas datos;39,00
INV00022;CUST0051;Female;47,00;Electronics;SKU-050;1,00;430,59;Cash;2025-05-29;Downtown Galleria;0,00;0,00;1,00;1,00;N/A;1,00;Mantener;Sin clasificar;Recopilar más datos históricos de precios y ventas para realizar análisis de elasticidad y volumen. Se requieren al menos 3 observaciones de precio-cantidad para estimar elasticidad confiable.;Recolectar mas datos;47,00
INV00023;CUST0170;Female;33,00;Electronics;SKU-053;1,00;226,41;Cash;2025-11-06;Downtown Galleria;0,00;0,00;1,00;1,00;N/A;1,00;Mantener;Sin clasificar;Recopilar más datos históricos de precios y ventas para realizar análisis de elasticidad y volumen. Se requieren al menos 3 observaciones de precio-cantidad para estimar elasticidad confiable.;Recolectar mas datos;58,00
INV00024;CUST0056;Female;57,00;Home Goods;SKU-098;2,00;250,04;Credit Card;2025-06-19;North Mall;0,21;-0,03;1,47;1,52;-6,24;0,97;Bajar mucho;Promesa de valor;Posicionamiento por valor: Precio competitivo con diferenciación por calidad. Producto sensible al precio con bajo volumen. Invertir en marketing, branding y fidelización para aumentar volumen. Reducir precios para penetrar mercado y convertir en 'Generador de trafico'.;Precio competitivo, crecer volumen;47,00
INV00025;CUST0046;Male;50,00;Clothing;SKU-027;2,00;70,44;Credit Card;2025-07-17;North Mall;-0,08;0,01;2,54;2,49;-10,64;1,02;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;46,00
INV00026;CUST0177;Female;58,00;Electronics;SKU-052;1,00;286,32;Credit Card;2025-06-11;North Mall;0,00;0,00;1,00;1,00;N/A;1,00;Mantener;Sin clasificar;Recopilar más datos históricos de precios y ventas para realizar análisis de elasticidad y volumen. Se requieren al menos 3 observaciones de precio-cantidad para estimar elasticidad confiable.;Recolectar mas datos;47,00
INV00027;CUST0113;Male;47,00;Food & Drink;SKU-071;3,00;22,18;Credit Card;2025-08-23;Westside Plaza;-0,04;0,00;4,33;4,53;-56,08;0,96;Bajar mucho;Promesa de valor;Posicionamiento por valor: Precio competitivo con diferenciación por calidad. Producto sensible al precio con bajo volumen. Invertir en marketing, branding y fidelización para aumentar volumen. Reducir precios para penetrar mercado y convertir en 'Generador de trafico'.;Precio competitivo, crecer volumen;51,00
INV00028;CUST0137;Female;54,00;Clothing;SKU-014;2,00;142,68;Credit Card;2025-09-03;Westside Plaza;-0,08;0,01;2,48;2,49;-10,33;0,99;Bajar mucho;Promesa de valor;Posicionamiento por valor: Precio competitivo con diferenciación por calidad. Producto sensible al precio con bajo volumen. Invertir en marketing, branding y fidelización para aumentar volumen. Reducir precios para penetrar mercado y convertir en 'Generador de trafico'.;Precio competitivo, crecer volumen;48,00
INV00029;CUST0091;Male;59,00;Clothing;SKU-005;2,00;142,93;Credit Card;2025-08-13;Westside Plaza;0,22;0,01;2,55;2,49;28,64;1,02;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;53,00
INV00030;CUST0031;Female;31,00;Clothing;SKU-013;3,00;81,46;Credit Card;2025-10-28;North Mall;-0,04;0,01;2,44;2,49;-5,63;0,98;Bajar mucho;Promesa de valor;Posicionamiento por valor: Precio competitivo con diferenciación por calidad. Producto sensible al precio con bajo volumen. Invertir en marketing, branding y fidelización para aumentar volumen. Reducir precios para penetrar mercado y convertir en 'Generador de trafico'.;Precio competitivo, crecer volumen;52,00
INV00031;CUST0186;Female;54,00;Clothing;SKU-001;2,00;121,25;Cash;2025-10-01;Westside Plaza;-0,08;0,01;2,59;2,49;-10,05;1,04;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;44,00
INV00032;CUST0183;Female;56,00;Electronics;SKU-057;1,00;453,79;Credit Card;2025-09-05;Downtown Galleria;0,00;0,00;1,00;1,00;N/A;1,00;Mantener;Sin clasificar;Recopilar más datos históricos de precios y ventas para realizar análisis de elasticidad y volumen. Se requieren al menos 3 observaciones de precio-cantidad para estimar elasticidad confiable.;Recolectar mas datos;58,00
INV00033;CUST0031;Female;31,00;Home Goods;SKU-096;2,00;177,76;Credit Card;2025-10-04;North Mall;-0,13;-0,03;1,54;1,52;3,98;1,01;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;56,00
INV00034;CUST0019;Female;54,00;Clothing;SKU-003;3,00;68,68;Credit Card;2025-07-19;North Mall;0,13;0,01;2,54;2,49;16,30;1,02;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;54,00
INV00035;CUST0076;Male;28,00;Home Goods;SKU-097;1,00;81,27;Debit Card;2025-09-13;North Mall;0,02;-0,03;1,58;1,52;-0,55;1,04;Mantener;Generador de ganancias;Maximizar márgenes: Subir precios gradualmente sin perder volumen. Producto con demanda inelástica y alto volumen. Priorizar disponibilidad, calidad y mantener cuota de mercado. Fuente estable de ingresos y efectivo.;Subir precio gradual, maximizar margen;52,00
INV00036;CUST0010;Male;38,00;Clothing;SKU-030;2,00;74,26;Credit Card;2025-07-28;Downtown Galleria;0,18;0,01;2,55;2,49;23,39;1,02;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;49,00
INV00037;CUST0088;Female;30,00;Home Goods;SKU-094;2,00;90,60;Credit Card;2025-11-08;Westside Plaza;-0,15;-0,03;1,62;1,52;4,45;1,07;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;55,00
INV00038;CUST0106;Female;41,00;Clothing;SKU-009;3,00;97,27;Credit Card;2025-07-03;Downtown Galleria;-0,01;0,01;2,46;2,49;-0,91;0,99;Mantener;Estabilizador de ingresos;Posicionamiento premium: Mantener precios altos para nicho leal. Demanda inelástica con bajo volumen. Enfocarse en calidad superior, exclusividad y segmentación de clientes de alto valor. Considerar descontinuar si los márgenes no justifican el inventario.;Mantener premium, nicho leal;63,00
INV00039;CUST0106;Female;37,00;Electronics;SKU-059;1,00;412,88;Credit Card;2025-09-30;Westside Plaza;0,00;0,00;1,00;1,00;N/A;1,00;Mantener;Sin clasificar;Recopilar más datos históricos de precios y ventas para realizar análisis de elasticidad y volumen. Se requieren al menos 3 observaciones de precio-cantidad para estimar elasticidad confiable.;Recolectar mas datos;41,00
INV00040;CUST0009;Female;47,00;Clothing;SKU-016;1,00;151,82;Cash;2025-09-16;Downtown Galleria;0,01;0,01;2,47;2,49;1,47;0,99;Bajar;Promesa de valor;Posicionamiento por valor: Precio competitivo con diferenciación por calidad. Producto sensible al precio con bajo volumen. Invertir en marketing, branding y fidelización para aumentar volumen. Reducir precios para penetrar mercado y convertir en 'Generador de trafico'.;Precio competitivo, crecer volumen;51,00
INV00041;CUST0009;Female;55,00;Home Goods;SKU-082;1,00;222,38;Credit Card;2025-07-22;North Mall;-0,27;-0,03;1,56;1,52;8,03;1,03;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;48,00
INV00042;CUST0158;Female;49,00;Clothing;SKU-029;2,00;139,59;Debit Card;2025-09-25;Downtown Galleria;0,08;0,01;2,58;2,49;9,97;1,04;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;53,00
INV00043;CUST0026;Male;53,00;Electronics;SKU-049;1,00;514,40;Credit Card;2025-10-28;Westside Plaza;-0,00;0,00;1,00;1,00;N/A;1,00;Mantener;Sin clasificar;Recopilar más datos históricos de precios y ventas para realizar análisis de elasticidad y volumen. Se requieren al menos 3 observaciones de precio-cantidad para estimar elasticidad confiable.;Recolectar mas datos;56,00
INV00044;CUST0012;Female;46,00;Food & Drink;SKU-065;5,00;23,46;Credit Card;2025-08-16;Westside Plaza;-0,07;0,00;4,57;4,53;-94,10;1,01;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;51,00
INV00045;CUST0112;Female;32,00;Food & Drink;SKU-069;5,00;51,69;Credit Card;2025-09-30;Downtown Galleria;0,05;0,00;4,35;4,53;74,62;0,96;Bajar mucho;Promesa de valor;Posicionamiento por valor: Precio competitivo con diferenciación por calidad. Producto sensible al precio con bajo volumen. Invertir en marketing, branding y fidelización para aumentar volumen. Reducir precios para penetrar mercado y convertir en 'Generador de trafico'.;Precio competitivo, crecer volumen;72,00
INV00046;CUST0082;Female;34,00;Food & Drink;SKU-074;4,00;47,47;Credit Card;2025-09-03;North Mall;0,02;0,00;4,81;4,53;34,18;1,06;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;57,00
INV00047;CUST0015;Male;55,00;Clothing;SKU-004;3,00;116,45;Cash;2025-10-24;North Mall;-0,13;0,01;2,43;2,49;-17,40;0,97;Bajar mucho;Promesa de valor;Posicionamiento por valor: Precio competitivo con diferenciación por calidad. Producto sensible al precio con bajo volumen. Invertir en marketing, branding y fidelización para aumentar volumen. Reducir precios para penetrar mercado y convertir en 'Generador de trafico'.;Precio competitivo, crecer volumen;49,00
INV00048;CUST0129;Female;53,00;Clothing;SKU-001;3,00;136,12;Cash;2025-09-21;Westside Plaza;-0,08;0,01;2,59;2,49;-10,05;1,04;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;44,00
INV00049;CUST0064;Male;21,00;Electronics;SKU-034;1,00;422,62;Debit Card;2025-09-03;North Mall;0,00;0,00;1,00;1,00;N/A;1,00;Mantener;Sin clasificar;Recopilar más datos históricos de precios y ventas para realizar análisis de elasticidad y volumen. Se requieren al menos 3 observaciones de precio-cantidad para estimar elasticidad confiable.;Recolectar mas datos;51,00
INV00050;CUST0060;Female;48,00;Electronics;SKU-045;1,00;814,76;Credit Card;2025-07-21;North Mall;-0,00;0,00;1,00;1,00;N/A;1,00;Mantener;Sin clasificar;Recopilar más datos históricos de precios y ventas para realizar análisis de elasticidad y volumen. Se requieren al menos 3 observaciones de precio-cantidad para estimar elasticidad confiable.;Recolectar mas datos;47,00
INV00051;CUST0005;Female;31,00;Electronics;SKU-056;1,00;284,89;Debit Card;2025-09-28;Westside Plaza;0,00;0,00;1,00;1,00;N/A;1,00;Mantener;Sin clasificar;Recopilar más datos históricos de precios y ventas para realizar análisis de elasticidad y volumen. Se requieren al menos 3 observaciones de precio-cantidad para estimar elasticidad confiable.;Recolectar mas datos;51,00
INV00052;CUST0173;Female;21,00;Food & Drink;SKU-072;5,00;15,87;Credit Card;2025-11-04;North Mall;-0,03;0,00;4,38;4,53;-41,59;0,97;Bajar mucho;Promesa de valor;Posicionamiento por valor: Precio competitivo con diferenciación por calidad. Producto sensible al precio con bajo volumen. Invertir en marketing, branding y fidelización para aumentar volumen. Reducir precios para penetrar mercado y convertir en 'Generador de trafico'.;Precio competitivo, crecer volumen;52,00
INV00053;CUST0100;Female;36,00;Clothing;SKU-019;3,00;39,64;Cash;2025-06-04;North Mall;-0,00;0,01;2,44;2,49;-0,39;0,98;Subir;Estabilizador de ingresos;Posicionamiento premium: Mantener precios altos para nicho leal. Demanda inelástica con bajo volumen. Enfocarse en calidad superior, exclusividad y segmentación de clientes de alto valor. Considerar descontinuar si los márgenes no justifican el inventario.;Mantener premium, nicho leal;39,00
INV00054;CUST0073;Male;48,00;Clothing;SKU-008;2,00;137,45;Cash;2025-10-12;North Mall;0,18;0,01;2,46;2,49;23,06;0,99;Bajar mucho;Promesa de valor;Posicionamiento por valor: Precio competitivo con diferenciación por calidad. Producto sensible al precio con bajo volumen. Invertir en marketing, branding y fidelización para aumentar volumen. Reducir precios para penetrar mercado y convertir en 'Generador de trafico'.;Precio competitivo, crecer volumen;50,00
INV00055;CUST0042;Female;24,00;Home Goods;SKU-100;1,00;251,37;Credit Card;2025-07-22;Downtown Galleria;-0,01;-0,03;1,57;1,52;0,29;1,04;Subir;Generador de ganancias;Maximizar márgenes: Subir precios gradualmente sin perder volumen. Producto con demanda inelástica y alto volumen. Priorizar disponibilidad, calidad y mantener cuota de mercado. Fuente estable de ingresos y efectivo.;Subir precio gradual, maximizar margen;47,00
INV00056;CUST0136;Male;26,00;Electronics;SKU-043;1,00;861,87;Cash;2025-08-26;Westside Plaza;-0,00;0,00;1,00;1,00;N/A;1,00;Mantener;Sin clasificar;Recopilar más datos históricos de precios y ventas para realizar análisis de elasticidad y volumen. Se requieren al menos 3 observaciones de precio-cantidad para estimar elasticidad confiable.;Recolectar mas datos;72,00
INV00057;CUST0003;Female;27,00;Electronics;SKU-046;1,00;458,83;Cash;2025-05-29;Downtown Galleria;0,00;0,00;1,00;1,00;N/A;1,00;Mantener;Sin clasificar;Recopilar más datos históricos de precios y ventas para realizar análisis de elasticidad y volumen. Se requieren al menos 3 observaciones de precio-cantidad para estimar elasticidad confiable.;Recolectar mas datos;36,00
INV00058;CUST0059;Female;34,00;Clothing;SKU-018;2,00;113,84;Cash;2025-07-07;North Mall;0,05;0,01;2,36;2,49;7,01;0,95;Bajar mucho;Promesa de valor;Posicionamiento por valor: Precio competitivo con diferenciación por calidad. Producto sensible al precio con bajo volumen. Invertir en marketing, branding y fidelización para aumentar volumen. Reducir precios para penetrar mercado y convertir en 'Generador de trafico'.;Precio competitivo, crecer volumen;58,00
INV00059;CUST0025;Female;21,00;Home Goods;SKU-089;1,00;170,06;Credit Card;2025-09-13;Downtown Galleria;0,05;-0,03;1,55;1,52;-1,49;1,02;Bajar;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;58,00
INV00060;CUST0142;Male;38,00;Clothing;SKU-013;3,00;78,98;Credit Card;2025-09-08;North Mall;-0,04;0,01;2,44;2,49;-5,63;0,98;Bajar mucho;Promesa de valor;Posicionamiento por valor: Precio competitivo con diferenciación por calidad. Producto sensible al precio con bajo volumen. Invertir en marketing, branding y fidelización para aumentar volumen. Reducir precios para penetrar mercado y convertir en 'Generador de trafico'.;Precio competitivo, crecer volumen;52,00
INV00061;CUST0038;Female;32,00;Clothing;SKU-024;2,00;102,64;Credit Card;2025-07-16;North Mall;0,02;0,01;2,57;2,49;2,56;1,03;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;47,00
INV00062;CUST0072;Male;31,00;Clothing;SKU-015;2,00;82,76;Credit Card;2025-10-28;Downtown Galleria;0,17;0,01;2,44;2,49;22,18;0,98;Bajar mucho;Promesa de valor;Posicionamiento por valor: Precio competitivo con diferenciación por calidad. Producto sensible al precio con bajo volumen. Invertir en marketing, branding y fidelización para aumentar volumen. Reducir precios para penetrar mercado y convertir en 'Generador de trafico'.;Precio competitivo, crecer volumen;52,00
INV00063;CUST0157;Female;46,00;Electronics;SKU-041;1,00;329,39;Credit Card;2025-08-05;Westside Plaza;-0,00;0,00;1,00;1,00;N/A;1,00;Mantener;Sin clasificar;Recopilar más datos históricos de precios y ventas para realizar análisis de elasticidad y volumen. Se requieren al menos 3 observaciones de precio-cantidad para estimar elasticidad confiable.;Recolectar mas datos;43,00
INV00064;CUST0130;Male;50,00;Clothing;SKU-019;2,00;126,91;Credit Card;2025-06-17;North Mall;-0,00;0,01;2,44;2,49;-0,39;0,98;Subir;Estabilizador de ingresos;Posicionamiento premium: Mantener precios altos para nicho leal. Demanda inelástica con bajo volumen. Enfocarse en calidad superior, exclusividad y segmentación de clientes de alto valor. Considerar descontinuar si los márgenes no justifican el inventario.;Mantener premium, nicho leal;39,00
INV00065;CUST0096;Female;45,00;Food & Drink;SKU-066;4,00;50,50;Cash;2025-08-17;North Mall;-0,05;0,00;4,74;4,53;-64,55;1,05;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;46,00
